855779,Quantum Spectacular Nexus Arcade,www.quantumspectacularnexus.com,Andersonton,569 Rebecca Glen,"Saturday, Monday, Sunday, Friday, Thursday, Wednesday",14:00,23:00,898896,Teresa,Perry,Teresa.Perry@pratt-williams.biz
613943,Neon Sparkling Complex Arcade,www.neonsparklingcomplex.com,Catherineshire,91387 Kevin Villages Apt. 053,"Monday, Thursday, Sunday, Saturday, Wednesday, Tuesday, Friday",10:00,22:00,543175,Gabriela,Turner,Gabriela.Turner@ryan.com
626362,Terminal Pixelated Asylum Arcade,www.terminalpixelatedasylum.com,Holmesbury,620 Carter Path,"Friday, Wednesday, Saturday, Sunday, Thursday, Tuesday, Monday",15:00,23:00,960765,Catherine,Leach,Catherine.Leach@vargas.net
687249,Futuristic Quantum Lab Arcade,www.futuristicquantumlab.com,North Sarah,714 Kristopher Bridge Suite 397,"Wednesday, Friday, Sunday, Monday, Thursday",13:00,22:00,991227,Edward,Lewis,Edward.Lewis@swanson.com
456876,Laser Hyper Void Arcade,www.laserhypervoid.com,Colemanton,3631 Charles Orchard Apt. 004,"Sunday, Monday, Wednesday, Tuesday, Thursday, Friday, Saturday",13:00,23:00,694406,Russell,Padilla,Russell.Padilla@johnson.com
691451,Zenith Supercharged Citadel Arcade,www.zenithsuperchargedcitadel.com,Juliaberg,3732 Laura Trace Suite 207,"Sunday, Wednesday, Monday, Saturday",10:00,20:00,822656,Emily,Carpenter,Emily.Carpenter@hall.net
456776,Nebula Turbocharged Realm Arcade,www.nebulaturbochargedrealm.com,Danielsstad,7668 Ashley Manors Suite 690,"Thursday, Monday, Friday, Wednesday, Sunday, Saturday",10:00,18:00,781218,Gerald,Wilcox,Gerald.Wilcox@martinez-thompson.com
910363,Solar Time-Warp Wonderland Arcade,www.solartime-warpwonderland.com,Crystaltown,726 Annette Burg,"Wednesday, Tuesday, Friday, Saturday, Sunday, Monday",09:00,22:00,399734,Monica,Schneider,Monica.Schneider@thomas-johnson.info
830525,Sunlit Portal Tower Arcade,www.sunlitportaltower.com,Josephland,2863 Erin Island,"Monday, Saturday, Wednesday, Thursday, Tuesday, Friday, Sunday",10:00,23:00,275802,Danielle,Ferguson,Danielle.Ferguson@byrd-nelson.com
65838,Golden Glowing Garage Arcade,www.goldenglowinggarage.com,Lake Roy,774 Theresa Circles,"Thursday, Sunday, Monday, Saturday, Tuesday, Wednesday",13:00,22:00,939395,Jane,Leon,Jane.Leon@combs-dawson.com
